2023-08-23 10:25:57,425 INFO    MainThread:3912 [wandb_setup.py:_flush():68] Configure stats pid to 3912
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/.config/wandb/settings
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/Documents/dolphin_classification/notebooks/wandb/settings
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_init.py:_log_setup():476] Logging user logs to /home/paperspace/Documents/dolphin_classification/notebooks/wandb/run-20230823_102557-1c0tiwk4/logs/debug.log
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_init.py:_log_setup():477] Logging internal logs to /home/paperspace/Documents/dolphin_classification/notebooks/wandb/run-20230823_102557-1c0tiwk4/logs/debug-internal.log
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_init.py:init():516] calling init triggers
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'arch': 'InceptionV4', 'batch_size': 356, 'epochs': 50, 'optimizer': 'SGD', 'learning rate': 0.001, 'momentum': 0.5, 'loss_function': CrossEntropyLoss(), 'classes': 30, 'Data aug': 'horizontal_flip'}
2023-08-23 10:25:57,426 INFO    MainThread:3912 [wandb_init.py:init():535] re-initializing run, found existing run on stack: 1bmqydbl
2023-08-23 10:25:57,428 INFO    MainThread:3912 [wandb_run.py:_finish():1746] finishing run yashchks87/dolphin/1bmqydbl
2023-08-23 10:25:57,428 INFO    MainThread:3912 [jupyter.py:save_history():448] not saving jupyter history
2023-08-23 10:25:57,428 INFO    MainThread:3912 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-08-23 10:25:57,428 INFO    MainThread:3912 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2023-08-23 10:25:57,428 INFO    MainThread:3912 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-08-23 10:25:57,428 INFO    MainThread:3912 [wandb_run.py:_restore():1932] restore
2023-08-23 10:25:57,428 INFO    MainThread:3912 [wandb_run.py:_restore():1938] restore done
2023-08-23 10:26:02,176 INFO    MainThread:3912 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-08-23 10:26:02,177 INFO    MainThread:3912 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-08-23 10:26:02,180 INFO    MainThread:3912 [wandb_run.py:_footer_sync_info():3333] logging synced files
2023-08-23 10:26:02,186 INFO    MainThread:3912 [wandb_init.py:init():569] starting backend
2023-08-23 10:26:02,186 INFO    MainThread:3912 [wandb_init.py:init():573] setting up manager
2023-08-23 10:26:02,188 INFO    MainThread:3912 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-23 10:26:02,189 INFO    MainThread:3912 [wandb_init.py:init():580] backend started and connected
2023-08-23 10:26:02,193 INFO    MainThread:3912 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2023-08-23 10:26:02,193 INFO    MainThread:3912 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-08-23 10:26:02,193 INFO    MainThread:3912 [wandb_init.py:init():658] updated telemetry
2023-08-23 10:26:02,264 INFO    MainThread:3912 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-08-23 10:26:03,479 INFO    MainThread:3912 [wandb_run.py:_on_init():2000] communicating current version
2023-08-23 10:26:03,526 INFO    MainThread:3912 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.15.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-23 10:26:03,526 INFO    MainThread:3912 [wandb_init.py:init():728] starting run threads in backend
2023-08-23 10:26:03,558 INFO    MainThread:3912 [wandb_run.py:_console_start():1980] atexit reg
2023-08-23 10:26:03,558 INFO    MainThread:3912 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-08-23 10:26:03,559 INFO    MainThread:3912 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-08-23 10:26:03,559 INFO    MainThread:3912 [wandb_run.py:_redirect():1925] Redirects installed.
2023-08-23 10:26:03,559 INFO    MainThread:3912 [wandb_init.py:init():765] run started, returning control to user process
